,Party Affiliation,week,anxiety,new_cases
0,Blue,2020-01-13/2020-01-19,7.132637362637364,6
1,Heavily Blue,2020-01-13/2020-01-19,7.56,6
2,Heavily Red,2020-01-13/2020-01-19,7.509857142857143,6
3,Moderate,2020-01-13/2020-01-19,7.24125,6
4,Red,2020-01-13/2020-01-19,7.240439560439561,6
5,Blue,2020-01-20/2020-01-26,7.412087912087912,5
6,Heavily Blue,2020-01-20/2020-01-26,7.725510204081633,5
7,Heavily Red,2020-01-20/2020-01-26,7.7821428571428575,5
8,Moderate,2020-01-20/2020-01-26,7.420892857142857,5
9,Red,2020-01-20/2020-01-26,7.541318681318681,5
10,Blue,2020-01-27/2020-02-02,7.514945054945055,12
11,Heavily Blue,2020-01-27/2020-02-02,7.88530612244898,12
12,Heavily Red,2020-01-27/2020-02-02,7.893428571428571,12
13,Moderate,2020-01-27/2020-02-02,7.531071428571429,12
14,Red,2020-01-27/2020-02-02,7.721648351648351,12
15,Blue,2020-02-03/2020-02-09,7.506043956043955,13
16,Heavily Blue,2020-02-03/2020-02-09,7.871428571428571,13
17,Heavily Red,2020-02-03/2020-02-09,7.851857142857143,13
18,Moderate,2020-02-03/2020-02-09,7.5182142857142855,13
19,Red,2020-02-03/2020-02-09,7.664835164835165,13
20,Blue,2020-02-10/2020-02-16,7.396593406593407,16
21,Heavily Blue,2020-02-10/2020-02-16,7.789387755102041,16
22,Heavily Red,2020-02-10/2020-02-16,7.692285714285715,16
23,Moderate,2020-02-10/2020-02-16,7.419107142857143,16
24,Red,2020-02-10/2020-02-16,7.506483516483517,16
25,Blue,2020-02-17/2020-02-23,7.6062637362637355,27
26,Heavily Blue,2020-02-17/2020-02-23,8.029183673469388,27
27,Heavily Red,2020-02-17/2020-02-23,7.931857142857143,27
28,Moderate,2020-02-17/2020-02-23,7.619999999999999,27
29,Red,2020-02-17/2020-02-23,7.7214285714285715,27
30,Blue,2020-02-24/2020-03-01,7.552417582417582,101
31,Heavily Blue,2020-02-24/2020-03-01,7.992040816326531,101
32,Heavily Red,2020-02-24/2020-03-01,7.803857142857143,101
33,Moderate,2020-02-24/2020-03-01,7.459642857142858,101
34,Red,2020-02-24/2020-03-01,7.554835164835165,101
35,Blue,2020-03-02/2020-03-08,7.36923076923077,1133
36,Heavily Blue,2020-03-02/2020-03-08,7.905714285714286,1133
37,Heavily Red,2020-03-02/2020-03-08,7.561285714285714,1133
38,Moderate,2020-03-02/2020-03-08,7.317142857142857,1133
39,Red,2020-03-02/2020-03-08,7.391868131868131,1133
40,Blue,2020-03-09/2020-03-15,6.949010989010989,7725
41,Heavily Blue,2020-03-09/2020-03-15,7.612653061224489,7725
42,Heavily Red,2020-03-09/2020-03-15,7.146714285714285,7725
43,Moderate,2020-03-09/2020-03-15,7.013392857142857,7725
44,Red,2020-03-09/2020-03-15,6.975604395604395,7725
45,Blue,2020-03-16/2020-03-22,6.75021978021978,59286
46,Heavily Blue,2020-03-16/2020-03-22,7.469591836734693,59286
47,Heavily Red,2020-03-16/2020-03-22,7.023571428571429,59286
48,Moderate,2020-03-16/2020-03-22,6.8675,59286
49,Red,2020-03-16/2020-03-22,6.9532967032967035,59286
50,Blue,2020-03-23/2020-03-29,6.977912087912088,151264
51,Heavily Blue,2020-03-23/2020-03-29,7.808979591836734,151264
52,Heavily Red,2020-03-23/2020-03-29,7.029857142857143,151264
53,Moderate,2020-03-23/2020-03-29,7.1553571428571425,151264
54,Red,2020-03-23/2020-03-29,7.18032967032967,151264
55,Blue,2020-03-30/2020-04-05,6.993186813186814,216480
56,Heavily Blue,2020-03-30/2020-04-05,7.79530612244898,216480
57,Heavily Red,2020-03-30/2020-04-05,7.061999999999999,216480
58,Moderate,2020-03-30/2020-04-05,7.096785714285715,216480
59,Red,2020-03-30/2020-04-05,6.985824175824177,216480
60,Blue,2020-04-06/2020-04-12,6.678021978021978,207216
61,Heavily Blue,2020-04-06/2020-04-12,7.45265306122449,207216
62,Heavily Red,2020-04-06/2020-04-12,6.800428571428571,207216
63,Moderate,2020-04-06/2020-04-12,6.910357142857143,207216
64,Red,2020-04-06/2020-04-12,6.783626373626374,207216
65,Blue,2020-04-13/2020-04-19,6.687032967032967,199145
66,Heavily Blue,2020-04-13/2020-04-19,7.426122448979592,199145
67,Heavily Red,2020-04-13/2020-04-19,6.718285714285714,199145
68,Moderate,2020-04-13/2020-04-19,6.871428571428572,199145
69,Red,2020-04-13/2020-04-19,6.715494505494505,199145
70,Blue,2020-04-20/2020-04-26,6.92934065934066,199927
71,Heavily Blue,2020-04-20/2020-04-26,7.599387755102041,199927
72,Heavily Red,2020-04-20/2020-04-26,6.948571428571428,199927
73,Moderate,2020-04-20/2020-04-26,7.052321428571429,199927
74,Red,2020-04-20/2020-04-26,6.826813186813187,199927
75,Blue,2020-04-27/2020-05-03,7.068241758241759,187942
76,Heavily Blue,2020-04-27/2020-05-03,7.8206122448979585,187942
77,Heavily Red,2020-04-27/2020-05-03,7.006,187942
78,Moderate,2020-04-27/2020-05-03,7.159285714285715,187942
79,Red,2020-04-27/2020-05-03,6.892197802197802,187942
80,Blue,2020-05-04/2020-05-10,6.863736263736264,159936
81,Heavily Blue,2020-05-04/2020-05-10,7.5922448979591834,159936
82,Heavily Red,2020-05-04/2020-05-10,6.867285714285714,159936
83,Moderate,2020-05-04/2020-05-10,6.9433928571428565,159936
84,Red,2020-05-04/2020-05-10,6.764615384615385,159936
85,Blue,2020-05-11/2020-05-17,6.835934065934066,157259
86,Heavily Blue,2020-05-11/2020-05-17,7.586938775510204,157259
87,Heavily Red,2020-05-11/2020-05-17,6.908285714285714,157259
88,Moderate,2020-05-11/2020-05-17,6.961428571428571,157259
89,Red,2020-05-11/2020-05-17,6.76989010989011,157259
90,Blue,2020-05-18/2020-05-24,6.716263736263736,145806
91,Heavily Blue,2020-05-18/2020-05-24,7.42734693877551,145806
92,Heavily Red,2020-05-18/2020-05-24,6.823285714285714,145806
93,Moderate,2020-05-18/2020-05-24,6.93875,145806
94,Red,2020-05-18/2020-05-24,6.741648351648352,145806
95,Blue,2020-05-25/2020-05-31,6.412087912087912,143756
96,Heavily Blue,2020-05-25/2020-05-31,7.058571428571429,143756
97,Heavily Red,2020-05-25/2020-05-31,6.501428571428572,143756
98,Moderate,2020-05-25/2020-05-31,6.640535714285714,143756
99,Red,2020-05-25/2020-05-31,6.4618681318681315,143756
100,Blue,2020-06-01/2020-06-07,6.347252747252748,147482
101,Heavily Blue,2020-06-01/2020-06-07,6.949591836734693,147482
102,Heavily Red,2020-06-01/2020-06-07,6.564285714285714,147482
103,Moderate,2020-06-01/2020-06-07,6.630535714285714,147482
104,Red,2020-06-01/2020-06-07,6.4314285714285715,147482
105,Blue,2020-06-08/2020-06-14,6.761208791208791,154019
106,Heavily Blue,2020-06-08/2020-06-14,7.426734693877552,154019
107,Heavily Red,2020-06-08/2020-06-14,7.013857142857143,154019
108,Moderate,2020-06-08/2020-06-14,7.060357142857143,154019
109,Red,2020-06-08/2020-06-14,6.89978021978022,154019
110,Blue,2020-06-15/2020-06-21,6.711208791208792,209647
111,Heavily Blue,2020-06-15/2020-06-21,7.399591836734693,209647
112,Heavily Red,2020-06-15/2020-06-21,7.042142857142857,209647
113,Moderate,2020-06-15/2020-06-21,7.1025,209647
114,Red,2020-06-15/2020-06-21,6.940219780219781,209647
115,Blue,2020-06-22/2020-06-28,6.773406593406594,292313
116,Heavily Blue,2020-06-22/2020-06-28,7.530408163265307,292313
117,Heavily Red,2020-06-22/2020-06-28,7.135,292313
118,Moderate,2020-06-22/2020-06-28,7.148035714285714,292313
119,Red,2020-06-22/2020-06-28,6.966263736263736,292313
120,Blue,2020-06-29/2020-07-05,6.644615384615384,357393
121,Heavily Blue,2020-06-29/2020-07-05,7.342857142857143,357393
122,Heavily Red,2020-06-29/2020-07-05,6.857571428571428,357393
123,Moderate,2020-06-29/2020-07-05,6.9314285714285715,357393
124,Red,2020-06-29/2020-07-05,6.773186813186813,357393
125,Blue,2020-07-06/2020-07-12,6.937252747252747,424339
126,Heavily Blue,2020-07-06/2020-07-12,7.66530612244898,424339
127,Heavily Red,2020-07-06/2020-07-12,7.254428571428572,424339
128,Moderate,2020-07-06/2020-07-12,7.29,424339
129,Red,2020-07-06/2020-07-12,7.124065934065934,424339
130,Blue,2020-07-13/2020-07-19,6.886923076923077,459483
131,Heavily Blue,2020-07-13/2020-07-19,7.613673469387755,459483
132,Heavily Red,2020-07-13/2020-07-19,7.168857142857143,459483
133,Moderate,2020-07-13/2020-07-19,7.270714285714286,459483
134,Red,2020-07-13/2020-07-19,7.071098901098901,459483
135,Blue,2020-07-20/2020-07-26,6.928791208791209,455984
136,Heavily Blue,2020-07-20/2020-07-26,7.634693877551021,455984
137,Heavily Red,2020-07-20/2020-07-26,7.292142857142857,455984
138,Moderate,2020-07-20/2020-07-26,7.339285714285714,455984
139,Red,2020-07-20/2020-07-26,7.113626373626374,455984
140,Blue,2020-07-27/2020-08-02,6.877912087912088,413265
141,Heavily Blue,2020-07-27/2020-08-02,7.612448979591837,413265
142,Heavily Red,2020-07-27/2020-08-02,7.238714285714285,413265
143,Moderate,2020-07-27/2020-08-02,7.282678571428571,413265
144,Red,2020-07-27/2020-08-02,7.105604395604396,413265
145,Blue,2020-08-03/2020-08-09,6.7931868131868125,400616
146,Heavily Blue,2020-08-03/2020-08-09,7.637959183673469,400616
147,Heavily Red,2020-08-03/2020-08-09,7.161428571428572,400616
148,Moderate,2020-08-03/2020-08-09,7.199821428571428,400616
149,Red,2020-08-03/2020-08-09,7.036483516483517,400616
150,Blue,2020-08-10/2020-08-16,6.9860439560439564,350712
151,Heavily Blue,2020-08-10/2020-08-16,7.8395918367346935,350712
152,Heavily Red,2020-08-10/2020-08-16,7.253571428571429,350712
153,Moderate,2020-08-10/2020-08-16,7.360535714285715,350712
154,Red,2020-08-10/2020-08-16,7.127692307692308,350712
155,Blue,2020-08-17/2020-08-23,7.026263736263736,296690
156,Heavily Blue,2020-08-17/2020-08-23,7.753877551020408,296690
157,Heavily Red,2020-08-17/2020-08-23,7.385142857142857,296690
158,Moderate,2020-08-17/2020-08-23,7.429285714285714,296690
159,Red,2020-08-17/2020-08-23,7.251758241758242,296690
160,Blue,2020-08-24/2020-08-30,6.9923076923076914,285968
161,Heavily Blue,2020-08-24/2020-08-30,7.805918367346939,285968
162,Heavily Red,2020-08-24/2020-08-30,7.323142857142857,285968
163,Moderate,2020-08-24/2020-08-30,7.468571428571429,285968
164,Red,2020-08-24/2020-08-30,7.194395604395605,285968
165,Blue,2020-08-31/2020-09-06,7.013846153846154,258226
166,Heavily Blue,2020-08-31/2020-09-06,7.921020408163265,258226
167,Heavily Red,2020-08-31/2020-09-06,7.440714285714286,258226
168,Moderate,2020-08-31/2020-09-06,7.462142857142857,258226
169,Red,2020-08-31/2020-09-06,7.296483516483517,258226
170,Blue,2020-09-07/2020-09-13,7.130219780219781,277253
171,Heavily Blue,2020-09-07/2020-09-13,8.16,277253
172,Heavily Red,2020-09-07/2020-09-13,7.5765714285714285,277253
173,Moderate,2020-09-07/2020-09-13,7.614642857142857,277253
174,Red,2020-09-07/2020-09-13,7.407802197802198,277253
175,Blue,2020-09-14/2020-09-20,7.32923076923077,293309
176,Heavily Blue,2020-09-14/2020-09-20,8.218775510204082,293309
177,Heavily Red,2020-09-14/2020-09-20,7.695285714285713,293309
178,Moderate,2020-09-14/2020-09-20,7.676785714285714,293309
179,Red,2020-09-14/2020-09-20,7.536373626373626,293309
180,Blue,2020-09-21/2020-09-27,7.376263736263736,300682
181,Heavily Blue,2020-09-21/2020-09-27,8.229795918367346,300682
182,Heavily Red,2020-09-21/2020-09-27,7.628285714285714,300682
183,Moderate,2020-09-21/2020-09-27,7.6325,300682
184,Red,2020-09-21/2020-09-27,7.534175824175825,300682
185,Blue,2020-09-28/2020-10-04,7.285494505494506,310424
186,Heavily Blue,2020-09-28/2020-10-04,8.08530612244898,310424
187,Heavily Red,2020-09-28/2020-10-04,7.459285714285714,310424
188,Moderate,2020-09-28/2020-10-04,7.5216071428571425,310424
189,Red,2020-09-28/2020-10-04,7.368461538461538,310424
190,Blue,2020-10-05/2020-10-11,7.441428571428571,363384
191,Heavily Blue,2020-10-05/2020-10-11,8.130204081632654,363384
192,Heavily Red,2020-10-05/2020-10-11,7.743714285714285,363384
193,Moderate,2020-10-05/2020-10-11,7.6692857142857145,363384
194,Red,2020-10-05/2020-10-11,7.554615384615385,363384
195,Blue,2020-10-12/2020-10-18,7.395494505494505,429807
196,Heavily Blue,2020-10-12/2020-10-18,8.179591836734694,429807
197,Heavily Red,2020-10-12/2020-10-18,7.579,429807
198,Moderate,2020-10-12/2020-10-18,7.592321428571429,429807
199,Red,2020-10-12/2020-10-18,7.433516483516484,429807
200,Blue,2020-10-19/2020-10-25,7.6849450549450555,524983
201,Heavily Blue,2020-10-19/2020-10-25,8.52061224489796,524983
202,Heavily Red,2020-10-19/2020-10-25,7.783285714285715,524983
203,Moderate,2020-10-19/2020-10-25,7.856607142857143,524983
204,Red,2020-10-19/2020-10-25,7.673846153846155,524983
205,Blue,2020-10-26/2020-11-01,8.398021978021978,661396
206,Heavily Blue,2020-10-26/2020-11-01,9.098367346938776,661396
207,Heavily Red,2020-10-26/2020-11-01,8.895857142857144,661396
208,Moderate,2020-10-26/2020-11-01,8.599642857142857,661396
209,Red,2020-10-26/2020-11-01,8.536043956043956,661396
210,Blue,2020-11-02/2020-11-08,8.11076923076923,900961
211,Heavily Blue,2020-11-02/2020-11-08,9.25204081632653,900961
212,Heavily Red,2020-11-02/2020-11-08,8.666428571428572,900961
213,Moderate,2020-11-02/2020-11-08,8.265714285714285,900961
214,Red,2020-11-02/2020-11-08,8.341868131868132,900961
215,Blue,2020-11-09/2020-11-15,7.8427472527472535,1118353
216,Heavily Blue,2020-11-09/2020-11-15,8.566530612244899,1118353
217,Heavily Red,2020-11-09/2020-11-15,8.161714285714286,1118353
218,Moderate,2020-11-09/2020-11-15,7.954464285714286,1118353
219,Red,2020-11-09/2020-11-15,7.9823076923076925,1118353
220,Blue,2020-11-16/2020-11-22,7.8087912087912095,1251936
221,Heavily Blue,2020-11-16/2020-11-22,8.500408163265305,1251936
222,Heavily Red,2020-11-16/2020-11-22,8.125857142857143,1251936
223,Moderate,2020-11-16/2020-11-22,7.934821428571429,1251936
224,Red,2020-11-16/2020-11-22,7.986483516483516,1251936
225,Blue,2020-11-23/2020-11-29,6.8380219780219775,1183256
226,Heavily Blue,2020-11-23/2020-11-29,7.421224489795918,1183256
227,Heavily Red,2020-11-23/2020-11-29,7.097714285714285,1183256
228,Moderate,2020-11-23/2020-11-29,6.920178571428571,1183256
229,Red,2020-11-23/2020-11-29,6.902087912087913,1183256
230,Blue,2020-11-30/2020-12-06,7.819120879120879,1475954
231,Heavily Blue,2020-11-30/2020-12-06,8.515510204081632,1475954
232,Heavily Red,2020-11-30/2020-12-06,7.930428571428571,1475954
233,Moderate,2020-11-30/2020-12-06,7.757857142857143,1475954
234,Red,2020-11-30/2020-12-06,7.710989010989011,1475954
235,Blue,2020-12-07/2020-12-13,7.834945054945055,1537172
236,Heavily Blue,2020-12-07/2020-12-13,8.492244897959184,1537172
237,Heavily Red,2020-12-07/2020-12-13,8.037857142857142,1537172
238,Moderate,2020-12-07/2020-12-13,7.834821428571429,1537172
239,Red,2020-12-07/2020-12-13,7.826153846153847,1537172
240,Blue,2020-12-14/2020-12-20,7.379780219780219,1512798
241,Heavily Blue,2020-12-14/2020-12-20,8.010408163265305,1512798
242,Heavily Red,2020-12-14/2020-12-20,7.6254285714285714,1512798
243,Moderate,2020-12-14/2020-12-20,7.447321428571429,1512798
244,Red,2020-12-14/2020-12-20,7.403626373626373,1512798
245,Blue,2020-12-21/2020-12-27,6.309010989010989,1317948
246,Heavily Blue,2020-12-21/2020-12-27,6.801224489795918,1317948
247,Heavily Red,2020-12-21/2020-12-27,6.382714285714286,1317948
248,Moderate,2020-12-21/2020-12-27,6.302321428571429,1317948
249,Red,2020-12-21/2020-12-27,6.207032967032967,1317948
250,Blue,2020-12-28/2021-01-03,6.873846153846154,1590007
251,Heavily Blue,2020-12-28/2021-01-03,7.410204081632654,1590007
252,Heavily Red,2020-12-28/2021-01-03,7.087428571428571,1590007
253,Moderate,2020-12-28/2021-01-03,6.876785714285715,1590007
254,Red,2020-12-28/2021-01-03,6.878681318681319,1590007
255,Blue,2021-01-04/2021-01-10,7.4108791208791205,1708204
256,Heavily Blue,2021-01-04/2021-01-10,7.9302040816326524,1708204
257,Heavily Red,2021-01-04/2021-01-10,7.466,1708204
258,Moderate,2021-01-04/2021-01-10,7.349285714285714,1708204
259,Red,2021-01-04/2021-01-10,7.352637362637363,1708204
260,Blue,2021-01-11/2021-01-17,7.584615384615385,1380273
261,Heavily Blue,2021-01-11/2021-01-17,8.094897959183672,1380273
262,Heavily Red,2021-01-11/2021-01-17,7.691714285714285,1380273
263,Moderate,2021-01-11/2021-01-17,7.565892857142857,1380273
264,Red,2021-01-11/2021-01-17,7.503846153846154,1380273
265,Blue,2021-01-18/2021-01-24,7.5419780219780215,1129579
266,Heavily Blue,2021-01-18/2021-01-24,8.05469387755102,1129579
267,Heavily Red,2021-01-18/2021-01-24,7.805285714285715,1129579
268,Moderate,2021-01-18/2021-01-24,7.574642857142857,1129579
269,Red,2021-01-18/2021-01-24,7.6182417582417585,1129579
270,Blue,2021-01-25/2021-01-31,7.7239560439560435,918356
271,Heavily Blue,2021-01-25/2021-01-31,8.299795918367346,918356
272,Heavily Red,2021-01-25/2021-01-31,8.066142857142857,918356
273,Moderate,2021-01-25/2021-01-31,7.818214285714285,918356
274,Red,2021-01-25/2021-01-31,7.844835164835165,918356
275,Blue,2021-02-01/2021-02-07,7.722967032967032,738798
276,Heavily Blue,2021-02-01/2021-02-07,8.381020408163266,738798
277,Heavily Red,2021-02-01/2021-02-07,8.09142857142857,738798
278,Moderate,2021-02-01/2021-02-07,7.807857142857143,738798
279,Red,2021-02-01/2021-02-07,7.814285714285715,738798
280,Blue,2021-02-08/2021-02-14,7.638131868131869,542647
281,Heavily Blue,2021-02-08/2021-02-14,8.368163265306123,542647
282,Heavily Red,2021-02-08/2021-02-14,7.839999999999999,542647
283,Moderate,2021-02-08/2021-02-14,7.831428571428572,542647
284,Red,2021-02-08/2021-02-14,7.633846153846154,542647
285,Blue,2021-02-15/2021-02-21,7.82065934065934,467710
286,Heavily Blue,2021-02-15/2021-02-21,8.514285714285714,467710
287,Heavily Red,2021-02-15/2021-02-21,7.900714285714285,467710
288,Moderate,2021-02-15/2021-02-21,7.949107142857143,467710
289,Red,2021-02-15/2021-02-21,7.60945054945055,467710
290,Blue,2021-02-22/2021-02-28,7.996043956043956,447114
291,Heavily Blue,2021-02-22/2021-02-28,8.661836734693878,447114
292,Heavily Red,2021-02-22/2021-02-28,8.193,447114
293,Moderate,2021-02-22/2021-02-28,7.964821428571428,447114
294,Red,2021-02-22/2021-02-28,7.994065934065935,447114
295,Blue,2021-03-01/2021-03-07,8.397912087912088,392018
296,Heavily Blue,2021-03-01/2021-03-07,9.176938775510205,392018
297,Heavily Red,2021-03-01/2021-03-07,8.561857142857143,392018
298,Moderate,2021-03-01/2021-03-07,8.440178571428572,392018
299,Red,2021-03-01/2021-03-07,8.276483516483516,392018
300,Blue,2021-03-08/2021-03-14,8.065164835164834,376555
301,Heavily Blue,2021-03-08/2021-03-14,8.841020408163265,376555
302,Heavily Red,2021-03-08/2021-03-14,8.186571428571428,376555
303,Moderate,2021-03-08/2021-03-14,8.155892857142858,376555
304,Red,2021-03-08/2021-03-14,8.089450549450548,376555
305,Blue,2021-03-15/2021-03-21,7.9412087912087905,404560
306,Heavily Blue,2021-03-15/2021-03-21,8.618775510204081,404560
307,Heavily Red,2021-03-15/2021-03-21,7.995857142857143,404560
308,Moderate,2021-03-15/2021-03-21,7.960714285714286,404560
309,Red,2021-03-15/2021-03-21,7.854395604395604,404560
310,Blue,2021-03-22/2021-03-28,8.186703296703296,448194
311,Heavily Blue,2021-03-22/2021-03-28,8.947551020408163,448194
312,Heavily Red,2021-03-22/2021-03-28,8.368428571428572,448194
313,Moderate,2021-03-22/2021-03-28,8.315357142857144,448194
314,Red,2021-03-22/2021-03-28,8.323956043956045,448194
315,Blue,2021-03-29/2021-04-04,8.35032967032967,457931
316,Heavily Blue,2021-03-29/2021-04-04,9.30326530612245,457931
317,Heavily Red,2021-03-29/2021-04-04,8.513,457931
318,Moderate,2021-03-29/2021-04-04,8.505178571428571,457931
319,Red,2021-03-29/2021-04-04,8.418901098901099,457931
320,Blue,2021-04-05/2021-04-11,7.672417582417583,493179
321,Heavily Blue,2021-04-05/2021-04-11,8.513061224489796,493179
322,Heavily Red,2021-04-05/2021-04-11,7.865285714285715,493179
323,Moderate,2021-04-05/2021-04-11,7.789642857142858,493179
324,Red,2021-04-05/2021-04-11,7.733736263736263,493179
325,Blue,2021-04-12/2021-04-18,7.606483516483517,450936
326,Heavily Blue,2021-04-12/2021-04-18,8.408571428571427,450936
327,Heavily Red,2021-04-12/2021-04-18,7.873857142857142,450936
328,Moderate,2021-04-12/2021-04-18,7.803214285714286,450936
329,Red,2021-04-12/2021-04-18,7.736483516483516,450936
330,Blue,2021-04-19/2021-04-25,7.916813186813187,371545
331,Heavily Blue,2021-04-19/2021-04-25,8.750612244897958,371545
332,Heavily Red,2021-04-19/2021-04-25,8.151000000000002,371545
333,Moderate,2021-04-19/2021-04-25,8.076071428571428,371545
334,Red,2021-04-19/2021-04-25,8.00923076923077,371545
335,Blue,2021-04-26/2021-05-02,7.614285714285714,334866
336,Heavily Blue,2021-04-26/2021-05-02,8.514693877551021,334866
337,Heavily Red,2021-04-26/2021-05-02,7.741285714285714,334866
338,Moderate,2021-04-26/2021-05-02,7.649285714285715,334866
339,Red,2021-04-26/2021-05-02,7.563406593406593,334866
340,Blue,2021-05-03/2021-05-09,7.6401098901098905,261590
341,Heavily Blue,2021-05-03/2021-05-09,8.561020408163266,261590
342,Heavily Red,2021-05-03/2021-05-09,7.615857142857143,261590
343,Moderate,2021-05-03/2021-05-09,7.6501785714285715,261590
344,Red,2021-05-03/2021-05-09,7.486923076923078,261590
345,Blue,2021-05-10/2021-05-16,7.6521978021978025,212024
346,Heavily Blue,2021-05-10/2021-05-16,8.53795918367347,212024
347,Heavily Red,2021-05-10/2021-05-16,7.698428571428571,212024
348,Moderate,2021-05-10/2021-05-16,7.8125,212024
349,Red,2021-05-10/2021-05-16,7.616483516483517,212024
350,Blue,2021-05-17/2021-05-23,7.5213186813186805,164435
351,Heavily Blue,2021-05-17/2021-05-23,8.291224489795917,164435
